Number,Country,Symbol,Frequency,Rate,Type,Detail,
1,,DJI,M,N,STOCK,Dow 30,
2,,SPX,M,N,STOCK,S&P 500,
3,,CCMP,M,N,STOCK,NasDAQ,
4,,VIX,M,N,STOCK,S&P 500 VIX,
5,,US3M,M,B3M,BOND,,
6,,US10Y,M,B10Y,BOND,,
7,,HSI,M,N,STOCK,Hang Seng,
8,,USDHKD,M,N,CURRENCY,,
9,,USDTWD,M,N,CURRENCY,,
10,,CHNCDS,M,C,CDS,,*
11,,NKY,M,N,STOCK,Nikkei 225,
12,,USDJPY,M,N,CURRENCY,,
13,,JPN3M,M,B3M,BOND,Japan 10Y,
14,,JPN10Y,M,B10Y,BOND,,
15,,JPNCDS,M,C,CDS,,*
16,,DAX,M,N,STOCK,DAX,
17,,USDEUR,M,N,CURRENCY,,
18,,DEU3M,M,B3M,BOND,Germany 10Y,
19,,DEU10Y,M,B10Y,BOND,,
20,,DEUCDS,M,C,CDS,,
21,,UKX,M,N,STOCK,FTSE 100,
22,,USDGBP,M,N,CURRENCY,,
23,,UK3M,M,B3M,BOND,UK 10Y,
24,,UK10Y,M,B10Y,BOND,,
25,,CAC,M,N,STOCK,CAC 40,
26,,FRA3M,M,B3M,BOND,France 10Y,
27,,FRA10Y,M,B10Y,BOND,,
28,,FRACDS,M,C,CDS,,
29,BRA,IBOV,M,N,STOCK,Bovespa,
30,,USDBRL,M,N,CURRENCY,,
31,,BRA3M,M,B3M,BOND,Brazil 10Y,
32,,BRACDS,M,C,CDS,,
33,,FTSEMIB,M,N,STOCK,FTSE MIB,
34,,ITA3M,M,B3M,BOND,Italy 10Y,
35,,ITA10Y,M,B10Y,BOND,,
36,,ITACDS,M,C,CDS,,
37,,NIFTY,M,N,STOCK,Nifty 50,
38,,SENSEX,M,N,STOCK,BSE Sensex,
39,,USDINR,M,N,CURRENCY,,
40,,IND3M,M,B3M,BOND,India 10Y,
41,,IND10Y,M,B10Y,BOND,,
42,,INDEXCF,M,N,STOCK,MICEX,
43,,RTSI$,M,N,STOCK,RTSI,
44,,USDRUB,M,N,CURRENCY,,
45,,RUSCDS,M,C,CDS,,
46,,SPTSX,M,N,STOCK,S&P/TSX,
47,,USDCAD,M,N,CURRENCY,,
48,,CAN10Y,M,B10Y,BOND,,
49,,AS51,M,N,STOCK,S&P/ASX,
50,,USDAUD,M,N,CURRENCY,,
51,,AUS3M,M,B3M,BOND,Australia 10Y,
52,,AUS10Y,M,B10Y,BOND,,
53,,KOSPI,M,N,STOCK,KOSPI,
54,,USDKRW,M,N,CURRENCY,,
55,,KOR3M,M,B3M,BOND,South Korea 10Y,
56,,KOR10Y,M,B10Y,BOND,,
57,,KORCDS,M,C,CDS,,
58,,KORHP,M,N,HP,,
59,,IBEX,M,N,STOCK,IBEX 35,
60,,ESP3M,M,B3M,BOND,Spain 10Y,
61,,ESP10Y,M,B10Y,BOND,,
62,,MEXBOL,M,N,STOCK,IPC,
63,,USDMXN,M,N,CURRENCY,,
64,,MEXCDS,M,C,CDS,,
65,IDN,JCI,M,N,STOCK,IDX Composite,
66,,USDIDR,M,N,CURRENCY,,
67,,IDN3M,M,B3M,BOND,Indonesia 10Y,
68,,IDN10Y,M,B10Y,BOND,,
69,,AEX,M,N,STOCK,AEX,
70,,NLD3M,M,B3M,BOND,Netherlands 10Y,
71,,NLD10Y,M,B10Y,BOND,,
72,,XU100,M,N,STOCK,BIST 100,
73,,USDTRY,M,N,CURRENCY,,
74,,TURCDS,M,C,CDS,,
75,SAU,SASEIDX,M,N,STOCK,Tadawul All Share,
76,,USDSAR,M,N,CURRENCY,,
77,,SAU3M,M,B3M,BOND,Saudi Arabia 1Y,
78,,SMI,M,N,STOCK,SMI,
79,,USDCHF,M,N,CURRENCY,,
80,,CHE10Y,M,B10Y,BOND,,
81,,OMXS30B,M,N,STOCK,OMXS30,
82,,USDSEK,M,N,CURRENCY,,
